InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
166690,SKU0372,Product 372,2,2024-01-14 14:44:41,25.98,10003,United Kingdom,51.96
166690,SKU0184,Product 184,4,2025-12-23 14:41:11,4.9,10003,United Kingdom,19.6
166691,SKU0393,Product 393,4,2025-11-27 02:35:45,26.81,10003,France,107.24
166691,SKU0131,Product 131,2,2024-02-01 11:39:55,30.07,10003,United Kingdom,60.14
166691,SKU0274,Product 274,3,2024-10-13 12:43:38,30.58,10003,United Kingdom,91.74
166692,SKU0146,Product 146,4,2025-12-10 05:52:21,63.84,10003,Netherlands,255.36
166692,SKU0077,Product 077,3,2025-09-04 21:46:38,26.86,10003,United Kingdom,80.58
166692,SKU0116,Product 116,7,2024-12-08 13:24:44,47.5,10003,United Kingdom,332.5
166693,SKU0257,Product 257,2,2025-02-02 06:49:48,22.18,10003,Germany,44.36
166693,SKU0172,Product 172,4,2024-01-22 19:04:47,8.2,10003,United Kingdom,32.8
166693,SKU0193,Product 193,4,2025-02-16 09:33:44,28.87,10003,United Kingdom,115.48
166694,SKU0304,Product 304,3,2025-05-02 02:30:45,10.71,10003,Ireland,32.13
166694,SKU0255,Product 255,3,2024-09-19 14:19:55,22.96,10003,United Kingdom,68.88
166694,SKU0299,Product 299,4,2024-08-12 14:58:11,13.34,10003,United Kingdom,53.36
166695,SKU0002,Product 002,4,2025-08-28 07:08:40,67.43,10003,United Kingdom,269.72
166695,SKU0188,Product 188,4,2024-11-23 02:29:02,25.12,10003,United Kingdom,100.48
166695,SKU0215,Product 215,3,2024-07-11 05:02:50,8.31,10003,United Kingdom,24.93
166696,SKU0132,Product 132,2,2024-09-30 13:51:30,12.76,10003,Australia,25.52
166696,SKU0062,Product 062,3,2024-12-25 21:43:42,29.38,10003,United Kingdom,88.14
166696,SKU0268,Product 268,7,2024-07-08 06:12:26,8.85,10004,United Kingdom,61.949999999999996
166697,SKU0087,Product 087,3,2025-02-13 01:30:22,28.65,10004,United Kingdom,85.94999999999999
166697,SKU0024,Product 024,3,2025-09-21 15:58:27,23.61,10004,Netherlands,70.83
166697,SKU0227,Product 227,5,2025-06-26 05:49:58,40.78,10004,United Kingdom,203.9
166698,SKU0244,Product 244,1,2024-06-18 16:00:06,27.83,10004,Spain,27.83
166698,SKU0003,Product 003,9,2024-12-10 15:13:02,32.97,10004,United Kingdom,296.73
166698,SKU0314,Product 314,5,2025-02-01 10:22:57,14.58,10004,United Kingdom,72.9
166699,SKU0287,Product 287,4,2025-05-12 20:10:29,36.69,10004,United Kingdom,146.76
166699,SKU0079,Product 079,4,2025-07-06 11:18:03,8.32,10004,Spain,33.28
166699,SKU0243,Product 243,4,2024-12-20 03:12:52,40.14,10004,Ireland,160.56
166700,SKU0182,Product 182,4,2024-08-18 07:18:13,30.61,10004,United Kingdom,122.44
166700,SKU0349,Product 349,4,2025-04-26 07:28:28,18.27,10004,Netherlands,73.08
166700,SKU0259,Product 259,1,2024-04-01 06:13:43,14.49,10004,Spain,14.49
166701,SKU0313,Product 313,4,2025-05-07 19:33:43,17.95,10004,Spain,71.8
166701,SKU0095,Product 095,3,2025-10-17 14:31:08,8.17,10004,United Kingdom,24.509999999999998
166701,SKU0213,Product 213,4,2025-06-02 03:58:07,14.84,10004,Germany,59.36
166702,SKU0240,Product 240,2,2024-11-12 08:04:39,12.85,10004,United Kingdom,25.7
166702,SKU0245,Product 245,4,2025-08-24 01:28:37,24.54,10004,Germany,98.16
166702,SKU0240,Product 240,4,2025-01-24 01:13:09,3.71,10004,Germany,14.84
166703,SKU0215,Product 215,3,2025-01-30 00:59:25,15.44,10004,France,46.32
166703,SKU0097,Product 097,4,2025-09-14 01:01:22,22.8,10004,United Kingdom,91.2
166703,SKU0218,Product 218,9,2024-05-21 21:31:35,11.92,10004,France,107.28
166704,SKU0232,Product 232,4,2025-07-24 06:18:13,20.36,10004,United Kingdom,81.44
166704,SKU0120,Product 120,3,2025-05-11 19:37:09,9.6,10004,United Kingdom,28.799999999999997
166704,SKU0054,Product 054,4,2025-01-21 16:04:27,33.37,10004,France,133.48
166705,SKU0193,Product 193,4,2024-02-26 11:12:56,15.58,10004,United Kingdom,62.32
166705,SKU0293,Product 293,5,2025-07-13 21:55:14,26.48,10004,Belgium,132.4
166705,SKU0124,Product 124,2,2024-06-09 21:46:06,33.04,10004,France,66.08
166706,SKU0240,Product 240,2,2025-10-16 15:28:17,49.03,10004,Germany,98.06
166706,SKU0338,Product 338,4,2025-08-02 02:16:02,8.4,10004,France,33.6
166706,SKU0317,Product 317,5,2024-09-22 02:46:43,20.38,10005,Germany,101.89999999999999
166707,SKU0296,Product 296,4,2024-11-14 00:53:41,47.6,10005,Spain,190.4
166707,SKU0022,Product 022,5,2024-01-19 11:11:40,39.67,10005,Netherlands,198.35000000000002
166707,SKU0029,Product 029,3,2024-12-30 11:44:01,28.1,10005,United Kingdom,84.30000000000001
166708,SKU0385,Product 385,3,2024-02-12 11:33:02,25.23,10005,France,75.69
166708,SKU0019,Product 019,1,2025-12-22 18:36:12,25.58,10005,United Kingdom,25.58
166708,SKU0283,Product 283,3,2025-04-12 01:42:45,10.8,10005,United Kingdom,32.400000000000006
166709,SKU0006,Product 006,3,2024-06-20 01:45:11,33.45,10005,United Kingdom,100.35000000000001
166709,SKU0027,Product 027,4,2025-08-10 18:47:52,28.89,10005,United Kingdom,115.56
166709,SKU0284,Product 284,7,2024-01-15 08:21:07,20.97,10005,Germany,146.79
166710,SKU0328,Product 328,3,2025-02-05 19:03:48,21.81,10005,United Kingdom,65.42999999999999
166710,SKU0141,Product 141,1,2024-03-22 03:21:02,35.5,10005,United Kingdom,35.5
166710,SKU0201,Product 201,6,2024-02-09 19:08:13,23.79,10005,United Kingdom,142.74
166711,SKU0379,Product 379,3,2024-06-27 17:14:20,22.97,10005,United Kingdom,68.91
166711,SKU0330,Product 330,2,2024-08-03 02:19:56,15.01,10005,Spain,30.02
166711,SKU0289,Product 289,4,2025-06-14 06:24:35,66.61,10005,France,266.44
166712,SKU0219,Product 219,5,2025-10-13 09:15:05,70.5,10005,Germany,352.5
166712,SKU0359,Product 359,4,2025-07-21 13:05:43,34.65,10005,Netherlands,138.6
166712,SKU0059,Product 059,2,2025-06-24 12:40:17,15.74,10005,United Kingdom,31.48
166713,SKU0229,Product 229,2,2025-02-17 00:11:02,26.9,10005,United Kingdom,53.8
166713,SKU0106,Product 106,7,2024-09-28 14:04:11,10.02,10005,Belgium,70.14
166713,SKU0111,Product 111,4,2024-07-05 10:16:44,36.42,10005,Spain,145.68
166714,SKU0233,Product 233,3,2025-11-22 10:20:20,49.97,10005,Belgium,149.91
166714,SKU0330,Product 330,2,2025-01-16 01:57:17,25.2,10005,Germany,50.4
166714,SKU0054,Product 054,7,2025-02-16 02:34:05,61.52,10005,United Kingdom,430.64000000000004
166715,SKU0237,Product 237,4,2024-01-11 21:37:14,95.03,10005,United Kingdom,380.12
166715,SKU0135,Product 135,2,2024-11-30 03:17:10,40.28,10005,Netherlands,80.56
166715,SKU0365,Product 365,8,2025-05-13 15:34:38,34.91,10005,United Kingdom,279.28
166716,SKU0146,Product 146,5,2024-12-27 16:01:14,11.6,10005,United Kingdom,58.0
166716,SKU0109,Product 109,3,2025-03-25 13:13:56,28.63,10005,Australia,85.89
166716,SKU0337,Product 337,5,2025-08-14 04:40:04,109.59,10006,United Kingdom,547.95
166717,SKU0081,Product 081,6,2024-01-16 07:54:27,30.38,10006,Australia,182.28
166717,SKU0123,Product 123,7,2025-10-23 13:44:58,40.94,10006,United Kingdom,286.58
166717,SKU0197,Product 197,4,2025-08-20 00:37:24,9.41,10006,United Kingdom,37.64
166718,SKU0180,Product 180,2,2024-11-02 20:57:08,13.41,10006,Spain,26.82
166718,SKU0097,Product 097,4,2025-07-12 09:14:48,33.78,10006,United Kingdom,135.12
166718,SKU0215,Product 215,5,2024-02-18 07:04:19,28.62,10006,United Kingdom,143.1
166719,SKU0011,Product 011,4,2024-08-13 04:54:45,5.15,10006,United Kingdom,20.6
166719,SKU0369,Product 369,3,2024-03-19 23:06:46,7.92,10006,Australia,23.759999999999998
166719,SKU0194,Product 194,6,2025-04-09 11:59:06,11.74,10006,France,70.44
166720,SKU0116,Product 116,5,2025-09-17 09:42:46,7.49,10006,Australia,37.45
166720,SKU0085,Product 085,5,2025-03-15 02:30:05,35.89,10006,United Kingdom,179.45
166720,SKU0195,Product 195,4,2025-06-04 23:43:40,34.37,10006,Australia,137.48
166721,SKU0360,Product 360,4,2024-04-14 13:23:07,21.07,10006,Netherlands,84.28
166721,SKU0181,Product 181,5,2025-11-13 05:32:28,23.72,10006,United Kingdom,118.6
166721,SKU0245,Product 245,4,2024-05-21 19:50:06,18.58,10006,United Kingdom,74.32
166722,SKU0185,Product 185,3,2025-01-19 12:56:36,16.9,10006,United Kingdom,50.699999999999996
166722,SKU0091,Product 091,8,2025-05-14 09:57:11,51.44,10006,Germany,411.52
166722,SKU0179,Product 179,4,2025-09-18 18:59:45,7.0,10006,United Kingdom,28.0
166723,SKU0312,Product 312,5,2025-11-13 01:12:10,16.24,10006,France,81.19999999999999
166723,SKU0274,Product 274,5,2025-03-13 12:40:42,22.23,10006,France,111.15
166723,SKU0077,Product 077,1,2025-02-25 13:57:55,8.24,10006,Belgium,8.24
166724,SKU0102,Product 102,4,2024-10-31 20:04:46,32.38,10006,United Kingdom,129.52
166724,SKU0391,Product 391,5,2025-02-19 22:26:50,19.75,10006,Belgium,98.75
166724,SKU0173,Product 173,4,2025-05-08 11:11:44,20.49,10006,Germany,81.96
166725,SKU0187,Product 187,6,2025-04-17 22:33:23,12.21,10006,United Kingdom,73.26
166725,SKU0250,Product 250,2,2025-03-08 11:15:23,7.8,10006,United Kingdom,15.6
166726,SKU0271,Product 271,4,2024-05-23 12:48:14,22.01,10006,Netherlands,88.04
166726,SKU0052,Product 052,2,2024-02-09 10:19:24,12.73,10006,France,25.46
166726,SKU0185,Product 185,3,2024-11-03 12:21:32,14.19,10007,Belgium,42.57
166727,SKU0018,Product 018,5,2024-10-16 06:56:25,13.05,10007,Australia,65.25
166727,SKU0002,Product 002,6,2025-03-20 22:47:33,20.05,10007,United Kingdom,120.30000000000001
166727,SKU0040,Product 040,3,2025-10-20 21:47:44,23.45,10007,Germany,70.35
166728,SKU0043,Product 043,6,2025-08-11 05:02:09,26.72,10007,United Kingdom,160.32
166728,SKU0312,Product 312,3,2025-02-26 20:24:58,41.7,10007,United Kingdom,125.10000000000001
166729,SKU0261,Product 261,5,2025-11-08 13:20:50,30.33,10007,United Kingdom,151.64999999999998
166729,SKU0230,Product 230,4,2025-11-17 15:30:27,21.32,10007,United Kingdom,85.28
166730,SKU0277,Product 277,6,2025-04-12 16:04:37,42.86,10007,United Kingdom,257.15999999999997
166730,SKU0087,Product 087,2,2025-01-04 02:06:09,20.19,10007,United Kingdom,40.38
166730,SKU0380,Product 380,2,2025-12-11 21:30:35,19.99,10007,Germany,39.98
166731,SKU0199,Product 199,4,2025-03-03 12:04:14,34.72,10007,Germany,138.88
166731,SKU0034,Product 034,2,2024-01-12 12:51:10,21.74,10007,United Kingdom,43.48
166731,SKU0010,Product 010,8,2024-06-02 13:31:50,14.03,10007,Netherlands,112.24
166732,SKU0189,Product 189,6,2024-04-04 22:55:39,23.69,10007,United Kingdom,142.14000000000001
166732,SKU0052,Product 052,2,2024-05-26 06:36:41,67.26,10007,Ireland,134.52
166732,SKU0320,Product 320,5,2024-03-11 08:38:08,13.72,10007,France,68.60000000000001
166733,SKU0129,Product 129,4,2025-07-25 04:10:28,64.32,10007,France,257.28
166733,SKU0033,Product 033,6,2024-12-27 13:34:32,27.37,10007,Spain,164.22
166733,SKU0230,Product 230,5,2025-05-06 10:42:47,14.19,10007,France,70.95
166734,SKU0249,Product 249,4,2025-12-31 06:30:12,30.13,10007,Germany,120.52
166734,SKU0303,Product 303,5,2025-04-18 23:10:38,29.22,10007,United Kingdom,146.1
166734,SKU0262,Product 262,7,2024-12-16 09:17:08,15.17,10007,France,106.19
166735,SKU0213,Product 213,5,2024-07-14 22:59:09,19.44,10007,France,97.2
166735,SKU0029,Product 029,4,2025-07-05 19:28:54,48.14,10007,Germany,192.56
166735,SKU0362,Product 362,2,2025-01-05 09:21:52,13.71,10007,United Kingdom,27.42
166736,SKU0243,Product 243,7,2025-07-07 13:00:09,14.74,10007,United Kingdom,103.18
166736,SKU0091,Product 091,6,2024-01-17 19:05:50,54.46,10007,Ireland,326.76
166736,SKU0170,Product 170,2,2024-04-29 05:19:34,34.86,10008,Australia,69.72
166737,SKU0353,Product 353,6,2024-04-04 18:37:48,19.42,10008,France,116.52000000000001
166737,SKU0161,Product 161,6,2025-05-13 20:31:30,27.62,10008,Australia,165.72
166737,SKU0056,Product 056,5,2025-01-13 22:35:22,51.18,10008,Spain,255.9
166738,SKU0126,Product 126,3,2024-08-19 17:15:50,12.41,10008,United Kingdom,37.230000000000004
166738,SKU0029,Product 029,3,2024-08-14 15:50:39,21.79,10008,United Kingdom,65.37
166738,SKU0353,Product 353,3,2025-03-19 20:17:54,37.09,10008,United Kingdom,111.27000000000001
166739,SKU0190,Product 190,3,2025-12-06 07:05:12,11.61,10008,United Kingdom,34.83
166739,SKU0152,Product 152,6,2025-12-28 12:48:33,11.69,10008,Germany,70.14
166739,SKU0155,Product 155,4,2024-12-10 23:36:19,12.09,10008,France,48.36
166740,SKU0359,Product 359,5,2025-05-05 02:55:35,39.34,10008,Netherlands,196.70000000000002
166740,SKU0123,Product 123,4,2024-03-02 08:14:40,64.36,10008,Germany,257.44
166740,SKU0157,Product 157,4,2025-11-22 16:47:23,19.11,10008,France,76.44
166741,SKU0032,Product 032,3,2024-01-14 03:12:35,65.67,10008,France,197.01
166741,SKU0346,Product 346,4,2024-09-07 19:27:37,25.61,10008,United Kingdom,102.44
166741,SKU0270,Product 270,3,2025-06-14 11:32:58,27.47,10008,United Kingdom,82.41
166742,SKU0289,Product 289,8,2025-12-09 16:44:44,11.55,10008,Spain,92.4
166742,SKU0318,Product 318,4,2024-05-05 23:05:34,40.68,10008,Germany,162.72
166742,SKU0141,Product 141,2,2025-04-28 22:34:19,22.05,10008,United Kingdom,44.1
166743,SKU0043,Product 043,2,2024-05-17 15:30:25,14.37,10008,Belgium,28.74
166743,SKU0294,Product 294,6,2024-02-06 06:53:03,12.51,10008,France,75.06
166743,SKU0047,Product 047,3,2024-11-05 14:44:40,19.61,10008,United Kingdom,58.83
166744,SKU0221,Product 221,3,2025-02-25 17:04:14,16.99,10008,United Kingdom,50.97
166744,SKU0223,Product 223,5,2024-07-12 07:57:00,21.75,10008,Ireland,108.75
166744,SKU0180,Product 180,6,2025-12-12 17:06:08,17.26,10008,Ireland,103.56
166745,SKU0321,Product 321,7,2025-03-26 17:35:49,44.02,10008,Belgium,308.14000000000004
166745,SKU0304,Product 304,5,2024-11-16 12:08:50,21.85,10008,Germany,109.25
166745,SKU0045,Product 045,2,2024-12-21 04:19:57,17.64,10008,United Kingdom,35.28
166746,SKU0170,Product 170,4,2024-12-05 16:01:52,53.24,10008,Australia,212.96
166746,SKU0222,Product 222,6,2024-03-22 02:19:07,12.95,10008,United Kingdom,77.69999999999999
166746,SKU0306,Product 306,2,2025-03-19 06:19:31,56.85,10009,Netherlands,113.7
166747,SKU0103,Product 103,5,2025-07-27 20:58:03,8.37,10009,France,41.849999999999994
166747,SKU0159,Product 159,4,2024-11-03 00:23:59,43.58,10009,United Kingdom,174.32
166747,SKU0148,Product 148,5,2024-11-07 12:26:59,20.47,10009,United Kingdom,102.35
166748,SKU0182,Product 182,2,2025-10-27 09:19:12,16.89,10009,United Kingdom,33.78
166748,SKU0363,Product 363,4,2025-03-22 21:16:06,17.93,10009,United Kingdom,71.72
166748,SKU0051,Product 051,3,2024-08-05 05:25:52,21.33,10009,United Kingdom,63.989999999999995
166749,SKU0289,Product 289,5,2024-01-03 00:51:07,9.65,10009,Spain,48.25
166749,SKU0131,Product 131,4,2025-08-24 11:25:10,16.53,10009,United Kingdom,66.12
166749,SKU0141,Product 141,7,2025-04-02 16:54:03,33.44,10009,United Kingdom,234.07999999999998
166750,SKU0060,Product 060,3,2025-04-02 00:29:23,30.17,10009,Spain,90.51
166750,SKU0336,Product 336,6,2024-07-25 03:02:12,33.83,10009,Netherlands,202.98
166750,SKU0266,Product 266,3,2024-05-16 08:19:54,16.06,10009,France,48.17999999999999
166751,SKU0014,Product 014,2,2024-12-27 03:33:50,43.74,10009,Belgium,87.48
166751,SKU0145,Product 145,2,2025-07-07 10:27:23,60.16,10009,United Kingdom,120.32
166751,SKU0022,Product 022,8,2024-08-05 04:59:16,23.69,10009,United Kingdom,189.52
166752,SKU0261,Product 261,5,2025-01-20 20:31:34,16.38,10009,Spain,81.89999999999999
166752,SKU0277,Product 277,4,2025-12-29 00:57:43,29.31,10009,Germany,117.24
166752,SKU0012,Product 012,7,2024-06-09 00:39:29,29.94,10009,United Kingdom,209.58
166753,SKU0044,Product 044,6,2024-06-17 23:42:37,17.01,10009,United Kingdom,102.06
166753,SKU0002,Product 002,5,2024-06-21 22:09:38,35.44,10009,United Kingdom,177.2
166753,SKU0350,Product 350,5,2025-10-29 15:36:45,48.92,10009,Netherlands,244.60000000000002
166754,SKU0186,Product 186,4,2025-01-21 01:44:24,9.4,10009,United Kingdom,37.6
166754,SKU0048,Product 048,3,2025-11-02 21:41:28,58.19,10009,United Kingdom,174.57
166754,SKU0045,Product 045,1,2025-11-23 04:09:49,22.82,10009,United Kingdom,22.82
166755,SKU0075,Product 075,3,2024-11-03 03:29:18,34.69,10009,United Kingdom,104.07
166755,SKU0110,Product 110,4,2024-02-10 00:55:57,11.93,10009,United Kingdom,47.72
166755,SKU0062,Product 062,3,2024-08-10 19:05:34,18.3,10009,France,54.900000000000006
166756,SKU0030,Product 030,6,2025-02-01 12:31:06,60.85,10009,France,365.1
166756,SKU0297,Product 297,6,2024-10-05 02:12:13,16.05,10009,Germany,96.30000000000001
166756,SKU0017,Product 017,3,2024-01-02 12:42:47,21.3,10010,United Kingdom,63.900000000000006
166757,SKU0244,Product 244,4,2025-12-24 03:15:09,16.63,10010,Spain,66.52
166757,SKU0067,Product 067,6,2024-08-09 17:18:53,64.27,10010,United Kingdom,385.62
166757,SKU0164,Product 164,5,2025-03-28 20:59:10,30.81,10010,Belgium,154.04999999999998
166758,SKU0202,Product 202,3,2025-11-23 22:20:15,12.89,10010,United Kingdom,38.67
166758,SKU0306,Product 306,5,2025-02-02 04:16:16,25.16,10010,France,125.8
166758,SKU0241,Product 241,5,2025-05-22 11:35:04,24.9,10010,United Kingdom,124.5
166759,SKU0083,Product 083,4,2025-05-24 21:35:25,12.54,10010,United Kingdom,50.16
166759,SKU0354,Product 354,6,2025-09-11 21:54:18,14.02,10010,United Kingdom,84.12
166760,SKU0003,Product 003,5,2025-11-02 03:10:47,19.52,10010,United Kingdom,97.6
166760,SKU0266,Product 266,4,2024-03-02 00:54:25,37.64,10010,Spain,150.56
166760,SKU0288,Product 288,3,2024-06-15 09:17:05,27.17,10010,United Kingdom,81.51
166761,SKU0097,Product 097,2,2024-02-04 22:28:26,17.49,10010,United Kingdom,34.98
166761,SKU0184,Product 184,3,2025-11-02 01:26:36,21.68,10010,France,65.03999999999999
166761,SKU0019,Product 019,4,2024-07-19 13:11:52,23.92,10010,United Kingdom,95.68
166762,SKU0170,Product 170,2,2025-01-23 07:13:48,36.03,10010,Netherlands,72.06
166762,SKU0018,Product 018,2,2024-12-13 14:46:07,25.9,10010,United Kingdom,51.8
166762,SKU0273,Product 273,2,2025-05-18 16:05:05,22.01,10010,France,44.02
166763,SKU0215,Product 215,7,2025-10-16 20:07:46,16.85,10010,United Kingdom,117.95000000000002
166763,SKU0006,Product 006,5,2024-08-24 18:42:13,19.1,10010,Spain,95.5
166763,SKU0175,Product 175,3,2025-07-31 16:06:59,21.91,10010,United Kingdom,65.73
166764,SKU0399,Product 399,2,2024-07-31 10:41:37,27.94,10010,United Kingdom,55.88
166764,SKU0035,Product 035,7,2024-05-24 23:07:59,44.48,10010,United Kingdom,311.35999999999996
166764,SKU0285,Product 285,4,2024-03-18 06:33:20,41.07,10010,United Kingdom,164.28
166765,SKU0005,Product 005,1,2024-09-28 22:02:36,24.76,10010,Germany,24.76
166765,SKU0197,Product 197,7,2025-02-13 02:05:03,18.23,10010,Netherlands,127.61
166766,SKU0152,Product 152,2,2025-09-12 01:48:30,11.98,10010,United Kingdom,23.96
166766,SKU0306,Product 306,4,2025-01-20 17:45:44,13.37,10010,Australia,53.48
166766,SKU0066,Product 066,4,2024-10-25 15:52:53,51.51,10011,Australia,206.04
166767,SKU0292,Product 292,2,2024-05-07 09:16:05,35.71,10011,Germany,71.42
166767,SKU0089,Product 089,5,2025-10-30 09:43:40,30.47,10011,United Kingdom,152.35
166767,SKU0155,Product 155,8,2024-10-16 02:48:00,59.06,10011,France,472.48
166768,SKU0001,Product 001,7,2025-07-12 15:38:30,19.97,10011,France,139.79
166768,SKU0165,Product 165,6,2025-04-02 07:16:44,31.54,10011,United Kingdom,189.24
166768,SKU0371,Product 371,6,2025-11-11 15:10:52,76.14,10011,United Kingdom,456.84000000000003
166769,SKU0238,Product 238,3,2025-12-12 01:12:34,25.61,10011,Netherlands,76.83
